က,k
ကံ,kaɴ
ကံ့,kaɴ
ကံ့ကူ,kaɴku
ကံ့ကူဆံ,kaɴkusʰaɴ
ကံ့ကူတံ,kaɴkutaɴ
ကံ့ကူလက်လှည့်ဆရာ,kaɴkuləkɛʔɬisʰəja
ကံ့ကော်,kaɴkaʊʔ
ကံ့ကော်ပင်,kaɴkaʊʔpɪɴ
ကံ့ကော်ပန်း,kaɴkaʊʔpaɴ
ကံကျွေး,kaɴt͡ɕəwe
ကံကျွေးချ,kaɴt͡ɕəwet͡ɕʰ
ကံကျွေးလက်ခ,kaɴt͡ɕəweləkɛʔkʰ
ကံကြမ္မာ,kaɴt͡ɕəmə္ma
ကံကြီးကံငယ်ဆောင်,kaɴt͡ɕikaɴŋɛsʰaʊɴ
ကံကုန်,kaɴkoʊɴ
ကံကုန်သည်,kaɴkoʊɴθi
ကံကောင်း,kaɴkaʊɴ
ကံကောင်းလို့,kaɴkaʊɴlo
ကံကောင်းသည်,kaɴkaʊɴθi
ကံချာကစား,kaɴt͡ɕʰakəsa
ကံခေသည်,kaɴkʰeθi
ကံငြိမ်း,kaɴd͡ʑeɪɴ
ကံစပ်သည်,kaɴsaʔθi
ကံစမ်းမဲ,kaɴsaɴmɛ
ကံစွန့်ကံငြား,kaɴsʊɴkaɴd͡ʑa
ကံစွပ်ကံညား,kaɴsʊʔkaɴɲa
ကံဆိုး,kaɴsʰo
ကံဇာတာ,kaɴzata
ကံထိုက်,kaɴtʰokɛʔ
ကံနခို,kaɴnəkʰo
ကံနှိုးဆော်,kaɴn̥osʰaʊʔ
ကံနိမ့်,kaɴneɪɴ
ကံပြင်းပင်,kaɴpəjɪɴpɪɴ
ကံပေါ်သည်,kaɴpeါɛʔθi
ကံဖြစ်,kaɴpʰəjɪʔ
ကံမြစ်,kaɴməjɪʔ
ကံမြောက်,kaɴməjɔkɛʔ
ကံသီ,kaɴθi
ကံသုံးပါး,kaɴθoʊɴpəါး
ကံသေကံမ,kaɴθekaɴm
ကံအားလျော်စွာ,kaɴʔaləjaʊʔsəwa
ကကံဒံ,kəkaɴdaɴ
ကကတစ်,kəkətɪʔ
ကကတိုး,kəkəto
ကကြိုး,kət͡ɕo
ကကြိုးတန်ဆာ,kət͡ɕotaɴsʰa
ကကြိုးတန်ဆာဆင်,kət͡ɕotaɴsʰasʰɪɴ
ကကြိုးတီးလုံး,kət͡ɕotiloʊɴ
ကကြီးအက္ခရာ,kət͡ɕiʔəkə္kʰəja
ကကုသန်ဘုရား,kəkuθaɴbuja
ကကူရံ,kəkujaɴ
ကကူရံငါး,kəkujaɴŋəါး
ကကောက်,kəkɔkɛʔ
ကက္ကရာ,kəkə္kəja
ကက္ကရုပန်း,kəkə္kəjupaɴ
ကက္ကုကမည်းပွင့်,kəkə္kukəmipəwɪɴ
ကက္ကုကမျဉ်း,kəkə္kukəməjɪɴ
ကက္ကုဆူး,kəkə္kusʰu
ကက္ကော်တကန်,kəkə္kaʊʔtəkaɴ
ကက်,kəkɛʔ
ကက်ကက်လန်,kəkɛʔkəkɛʔlaɴ
ကက်ကင်းဓာတ်,kəkɛʔkɪɴdaaʔ
ကက်ကော်တကန်,kəkɛʔkaʊʔtəkaɴ
ကက်ဆက်,kəkɛʔsʰəkɛʔ
ကက်တလောက်,kəkɛʔtəlɔkɛʔ
ကက်ပတိန်,kəkɛʔpəteɪɴ
ကက်ဗီနက်,kəkɛʔbinəkɛʔ
ကက်သလစ်,kəkɛʔθəlɪʔ
ကချင်,kət͡ɕʰɪɴ
ကချင်ပြည်နယ်,kət͡ɕʰɪɴpəjinɛ
ကချလာ,kət͡ɕʰəla
ကချေသည်,kət͡ɕʰeθi
ကချော်ကချင်,kət͡ɕʰaʊʔkət͡ɕʰɪɴ
ကချော်ကချွတ်,kət͡ɕʰaʊʔkət͡ɕʰʊʔ
ကခုန်,kəkʰoʊɴ
ကင်,kɪɴ
ကင်း,kɪɴ
ကင်းကစီ,kɪɴkəsi
ကင်းကိုင်,kɪɴkaɪɴ
ကင်းကွာ,kɪɴkəwa
ကင်းကွာသည်,kɪɴkəwaθi
ကင်းချုပ်,kɪɴt͡ɕʰoʊʔ
ကင်းခြေများ,kɪɴt͡ɕʰeməja
ကင်းခိုး,kɪɴkʰo
ကင်းခွန်,kɪɴkʰʊɴ
ကင်းခွန်ကင်းခ,kɪɴkʰʊɴkɪɴkʰ
ကင်းခွေး,kɪɴkʰəwe
ကင်းငြိမ်း,kɪɴd͡ʑeɪɴ
ကင်းစ,kɪɴs
ကင်းစင်သည်,kɪɴsɪɴθi
ကင်းစမ်းလေ,kɪɴsaɴle
ကင်းစား,kɪɴsa
ကင်းစီး,kɪɴsi
ကင်းစုန်း,kɪɴsoʊɴ
ကင်းစုန်းကောင်,kɪɴsoʊɴkaʊɴ
ကင်းစောင့်,kɪɴsaʊɴ
ကင်းစောင့်ထား,kɪɴsaʊɴtʰa
ကင်းစောင့်သည်,kɪɴsaʊɴθi
ကင်းတပ်,kɪɴtaʔ
ကင်းတပ်ဥပဒေ,kɪɴtaʔʔupəde
ကင်းတဲ,kɪɴtɛ
ကင်းထား,kɪɴtʰa
ကင်းထိုး,kɪɴtʰo
ကင်းထိုးမြင်းစီး,kɪɴtʰoməjɪɴsi
ကင်းထောက်,kɪɴtʰɔkɛʔ
ကင်းထောက်သည်,kɪɴtʰɔkɛʔθi
