ab,ab
aba,aba
aba güreşi,aba	ɡyɾeʃi
abacı,abad͡ʒɯ
abacılık,abad͡ʒɯlɯk
abadi,abadi
abajur,abaʒuɾ
abajurcu,abaʒuɾd͡ʒu
abajurculuk,abaʒuɾd͡ʒuluk
abajurlu,abaʒuɾlu
abajursuz,abaʒuɾsuz
abaküs,abakys
abalı,abalɯ
Abana,abana
abandırma,abandɯɾma
abandırmak,abandɯɾmak
abandone,abandone
abanık,abanɯk
abani,abani
abanma,abanma
abanmak,abanmak
abanoz,abanoz
abanozgiller,abanozɡilleɾ
abanozlaşma,abanozlaʃma
abanozlaşmak,abanozlaʃmak
abartı,abaɾtɯ
abartıcı,abaɾtɯd͡ʒɯ
abartıcılık,abaɾtɯd͡ʒɯlɯk
abartılı,abaɾtɯlɯ
abartılma,abaɾtɯlma
abartılmak,abaɾtɯlmak
abartısız,abaɾtɯsɯz
abartısızlık,abaɾtɯsɯzlɯk
abartış,abaɾtɯʃ
abartma,abaɾtma
abartmacı,abaɾtmad͡ʒɯ
abartmacılık,abaɾtmad͡ʒɯlɯk
abartmak,abaɾtmak
abartmalı,abaɾtmalɯ
abartmasız,abaɾtmasɯz
abasız,abasɯz
abaşo,abaʃo
abat etmek,abat	etmek
abat eylemek,abat	ejlemek
abat olmak,abat	olmak
abat,abat
Abaza,abaza
Abaza peyniri,abaza	pejniɾi
Abazaca,abazad͡ʒa
abazan,abazan
abazanlık,abazanlɯk
Abbas,abbas
abd,abd
abdal,abdal
Abdal,abdal
abdallık,abdallɯk
abdest,abdest
abdestbozan,abdestbozan
abdestbozan otu,abdestbozan	otu
abdesthane,abdesthane
abdestli,abdestli
abdestlik,abdestlik
abdestlilik,abdestlilik
abdestsiz,abdestsiz
abdestsizlik,abdestsizlik
abdiâciz,abdiâd͡ʒiz
abdülleziz,abdylleziz
abece,abed͡ʒe
abece sırası,abed͡ʒe	sɯɾasɯ
abecesel,abed͡ʒesel
aberasyon,abeɾasjon
abes,abes
abeslik,abeslik
abıhayat,abɯhajat
abıkevser,abɯkevseɾ
abide,abide
abideleşme,abideleʃme
abideleşmek,abideleʃmek
abideleştirme,abideleʃtiɾme
abideleştirmek,abideleʃtiɾmek
abidevi,abidevi
abidik gubidik,abidik	ɡubidik
abis,abis
abiye,abije
abla,abla
ablacı,ablad͡ʒɯ
ablacılık,ablad͡ʒɯlɯk
ablak,ablak
ablakça,ablakt͡ʃa
ablaklık,ablaklɯk
ablalık etmek,ablalɯk	etmek
ablalık,ablalɯk
ablatif,ablatif
ablatya,ablatja
abli,abli
abluka,abluka
abone,abone
abonelik,abonelik
abonman,abonman
aborda,aboɾda
aborjin,aboɾʒin
abra,abɾa
abrakadabra,abɾakadabɾa
abrama,abɾama
abramak,abɾamak
abraş,abɾaʃ
abril,abɾil
absorbe,absoɾbe
abstraksiyonizm,abstɾaksijonizm
abstre,abstɾe
abstre sanat,abstɾe	sanat
abstre sayı,abstɾe	sajɯ
absürt,absyɾt
abu,abu
abuhava,abuhava
abuk sabuk,abuk	sabuk
abuk sabukluk,abuk	sabukluk
abuk subuk,abuk	subuk
abuk subukluk,abuk	subukluk
abuli,abuli
abullabut,abullabut
abullabutluk,abullabutluk
abur cubur,abuɾ	d͡ʒubuɾ
abur cuburluk,abuɾ	d͡ʒubuɾluk
abus,abus
acaba,ad͡ʒaba
acar,ad͡ʒaɾ
Acar,ad͡ʒaɾ
Acara,ad͡ʒaɾa
acarlaşma,ad͡ʒaɾlaʃma
acarlaşmak,ad͡ʒaɾlaʃmak
acarlık,ad͡ʒaɾlɯk
acayip olmak,ad͡ʒajip	olmak
acayip,ad͡ʒajip
acayipleşme,ad͡ʒajipleʃme
acayipleşmek,ad͡ʒajipleʃmek
acayipleştirme,ad͡ʒajipleʃtiɾme
acayipleştirmek,ad͡ʒajipleʃtiɾmek
acayiplik,ad͡ʒajiplik
accelerando,ad͡ʒd͡ʒeleɾando
ace,ad͡ʒe
acele,ad͡ʒele
acele posta,ad͡ʒele	posta
aceleci,ad͡ʒeled͡ʒi
acelecilik,ad͡ʒeled͡ʒilik
aceleleştirme,ad͡ʒeleleʃtiɾme
aceleleştirmek,ad͡ʒeleleʃtiɾmek
acem,ad͡ʒem
Acem,ad͡ʒem
Acem halayı,ad͡ʒem	halajɯ
Acem işi,ad͡ʒem	iʃi
Acem kılıcı,ad͡ʒem	kɯlɯd͡ʒɯ
Acem lalesi,ad͡ʒem	lalesi
Acem pilavı,ad͡ʒem	pilavɯ
acemaşiran,ad͡ʒemaʃiɾan
acemborusu,ad͡ʒemboɾusu
acembuselik,ad͡ʒembuselik
Acemce,ad͡ʒemd͡ʒe
acemi,ad͡ʒemi
acemi ağası,ad͡ʒemi	aɰasɯ
acemi çaylak,ad͡ʒemi	t͡ʃajlak
acemi er,ad͡ʒemi	eɾ
acemi ocağı,ad͡ʒemi	od͡ʒaɰɯ
acemi oğlanı,ad͡ʒemi	oɰlanɯ
acemice,ad͡ʒemid͡ʒe
acemileşme,ad͡ʒemileʃme
acemileşmek,ad͡ʒemileʃmek
acemilik,ad͡ʒemilik
acemkürdi,ad͡ʒemkyɾdi
Acemleşme,ad͡ʒemleʃme
Acemleşmek,ad͡ʒemleʃmek
Acemleştirme,ad͡ʒemleʃtiɾme
Acemleştirmek,ad͡ʒemleʃtiɾmek
acente,ad͡ʒente
acentelik,ad͡ʒentelik
acep,ad͡ʒep
aceze,ad͡ʒeze
acı,ad͡ʒɯ
acı acı,ad͡ʒɯ	ad͡ʒɯ
acı ağaç,ad͡ʒɯ	aɰat͡ʃ
acı badem,ad͡ʒɯ	badem
acı badem kurabiyesi,ad͡ʒɯ	badem	kuɾabijesi
acı bakla,ad͡ʒɯ	bakla
acı bal,ad͡ʒɯ	bal
acı balık,ad͡ʒɯ	balɯk
acı ceviz,ad͡ʒɯ	d͡ʒeviz
acı çiğdem,ad͡ʒɯ	t͡ʃiɰdem
acı elma,ad͡ʒɯ	elma
acı hıyar,ad͡ʒɯ	hɯjaɾ
acı karpuz,ad͡ʒɯ	kaɾpuz
acı kavak,ad͡ʒɯ	kavak
acı kavun,ad͡ʒɯ	kavun
acı kök,ad͡ʒɯ	kœk
acı kuvvet,ad͡ʒɯ	kuvvet
acı marul,ad͡ʒɯ	maɾul
acı meyan,ad͡ʒɯ	mejan
acı ot,ad͡ʒɯ	ot
acı pelin,ad͡ʒɯ	pelin
acı sakız,ad͡ʒɯ	sakɯz
acı söz,ad͡ʒɯ	sœz
acı su,ad͡ʒɯ	su
acı tatlı,ad͡ʒɯ	tatlɯ
acı yavşan,ad͡ʒɯ	javʃan
acı yitimi,ad͡ʒɯ	jitimi
acı yonca,ad͡ʒɯ	jond͡ʒa
acıca,ad͡ʒɯd͡ʒa
Acıgöl,ad͡ʒɯɡœl
acıkılma,ad͡ʒɯkɯlma
acıkılmak,ad͡ʒɯkɯlmak
acıkış,ad͡ʒɯkɯʃ
acıklı,ad͡ʒɯklɯ
acıklı komedi,ad͡ʒɯklɯ	komedi
acıklılık,ad͡ʒɯklɯlɯk
acıkma,ad͡ʒɯkma
acıkmak,ad͡ʒɯkmak
acıktırma,ad͡ʒɯktɯɾma
acıktırmak,ad͡ʒɯktɯɾmak
acılanma,ad͡ʒɯlanma
acılanmak,ad͡ʒɯlanmak
acılaşma,ad͡ʒɯlaʃma
acılaşmak,ad͡ʒɯlaʃmak
acılaştırma,ad͡ʒɯlaʃtɯɾma
acılaştırmak,ad͡ʒɯlaʃtɯɾmak
acılı,ad͡ʒɯlɯ
acılık,ad͡ʒɯlɯk
acılılık,ad͡ʒɯlɯlɯk
acıma,ad͡ʒɯma
acımak,ad͡ʒɯmak
acımasız,ad͡ʒɯmasɯz
acımasızca,ad͡ʒɯmasɯzd͡ʒa
acımık,ad͡ʒɯmɯk
acımsı,ad͡ʒɯmsɯ
acımtırak,ad͡ʒɯmtɯɾak
acındırma,ad͡ʒɯndɯɾma
acındırmak,ad͡ʒɯndɯɾmak
acınılma,ad͡ʒɯnɯlma
acınılmak,ad͡ʒɯnɯlmak
acınma,ad͡ʒɯnma
acınmak,ad͡ʒɯnmak
